name,planned_n_steps,executed_n_steps,execution_time,simulation_exceptions,contract_exceptions,mechanism_exceptions,other_exceptions,n_agent_exceptions,n_negotiator_exceptions,mean_agent_time,n_neg_requests_sent,n_neg_requests_received,n_neg_requests_rejected,n_negs_registered,n_negs_succeeded,n_negs_failed,n_negs_timedout,n_negs_initiated,n_contracts_concluded,n_contracts_signed,n_contracts_dropped,n_breaches_received,n_breaches_committed,n_contracts_erred,n_contracts_nullified,n_contracts_breached,n_contracts_executed
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-Maym.01,20,20,2.726481700083241,[],[],[],[],0,0,2.00001522898674e-07,600,1200,0,1200,678,520,76,600,1140,2236,0,0,0,0,0,0,1118
000220251128H130949687433kHMw_LitaAgentY-LitaAgentN-MZiR.06,20,20,1.900514299981296,[],[],[],[],0,0,2.09989957511425e-07,320,640,0,640,428,212,0,320,764,1496,0,0,0,0,0,0,748
000120251128H130949660922ppJj_LitaAgentC-LitaAgentP-MOwT.04,20,20,27.273269400000572,[],[],[],[],0,0,2.6922386426192065e-07,600,1200,0,1200,634,566,0,600,1096,2148,0,0,0,0,0,0,1074
000220251128H130949687433kHMw_LitaAgentY-LitaAgentC-MjJ1.06,20,20,21.180604599881917,[],[],[],[],0,0,1.8998980522155762e-07,320,640,0,640,442,198,0,320,778,1524,0,0,0,0,0,0,762
000020251128H1309496249196qBU_LitaAgentY-LitaAgentC-LitaAgentNYvl.00,20,20,3.125519300112501,[],[],[],[],0,0,1.8461679036800678e-07,600,1200,0,1200,652,546,0,600,1114,2184,0,0,0,0,0,0,1092
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-LitaAgentNlkC.01,20,20,3.4756563999690115,[],[],[],[],0,0,2.3075307791049664e-07,600,1200,0,1200,740,460,0,600,1202,2360,0,0,0,0,0,0,1180
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-Maym.00,20,20,3.612124799983576,[],[],[],[],0,0,3.5388466830437e-07,600,1200,0,1200,710,490,0,600,1172,2300,0,0,0,0,0,0,1150
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-Maym.02,20,20,3.4883983000181615,[],[],[],[],0,0,1.9231811165809631e-07,600,1200,0,1200,710,482,0,600,1172,2300,0,0,0,0,0,0,1150
000220251128H130949687433kHMw_LitaAgentY-LitaAgentP-M5XY.08,20,20,1.8215436998289078,[],[],[],[],0,0,1.90013088285923e-07,320,640,0,640,362,278,2,320,698,1364,0,0,0,0,0,0,682
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-LitaAgentNlkC.02,20,20,2.7562532001174986,[],[],[],[],0,0,2.846265068420997e-07,600,1200,0,1200,712,488,56,600,1174,2304,0,0,0,0,0,0,1152
000220251128H130949687433kHMw_LitaAgentY-LitaAgentN-MMly.06,20,20,1.930192400002852,[],[],[],[],0,0,2.600019797682762e-07,320,640,0,640,354,282,2,320,690,1348,0,0,0,0,0,0,674
000220251128H130949687433kHMw_LitaAgentY-LitaAgentP-M5XY.06,20,20,2.002949299989268,[],[],[],[],0,0,3.2996758818626405e-07,320,640,0,640,328,312,34,320,664,1296,0,0,0,0,0,0,648
000020251128H1309496249196qBU_LitaAgentY-LitaAgentC-LitaAgentNQAS.01,20,20,2.752464200137183,[],[],[],[],0,0,2.6918804416289697e-07,600,1200,0,1200,636,564,2,600,1098,2152,0,0,0,0,0,0,1076
000120251128H130949660922ppJj_LitaAgentC-LitaAgentP-MOwT.03,20,20,2.9857741000596434,[],[],[],[],0,0,2.845727766935642e-07,600,1200,0,1200,536,664,0,600,998,1952,0,0,0,0,0,0,976
000220251128H130949687433kHMw_LitaAgentC-LitaAgentP-MMvP.06,20,20,23.40415590000339,[],[],[],[],0,0,1.90013088285923e-07,320,640,0,640,366,274,0,320,702,1372,0,0,0,0,0,0,686
000220251128H130949687433kHMw_LitaAgentC-LitaAgentN-LitaAgentPfIT.06,20,20,1.832593600032851,[],[],[],[],0,0,2.09989957511425e-07,320,640,0,640,288,352,4,320,624,1216,0,0,0,0,0,0,608
000020251128H1309496249196qBU_LitaAgentY-LitaAgentN-LitaAgentP7iC.02,20,20,2.926966199884191,[],[],[],[],0,0,9.923062932032806e-07,600,1200,0,1200,656,544,0,600,1118,2192,0,0,0,0,0,0,1096
000120251128H130949660922ppJj_LitaAgentY-LitaAgentP-Msj7.03,20,20,2.991861200192943,[],[],[],[],0,0,1.8463470041751862e-07,600,1200,0,1200,604,596,0,600,1066,2088,0,0,0,0,0,0,1044
000220251128H130949687433kHMw_LitaAgentY-LitaAgentYR-LitaAgentCteh.07,20,20,33.522545400075614,[],[],[],[],0,0,1.5003606677055358e-07,320,640,0,640,378,260,32,320,714,1396,0,0,0,0,0,0,698
000220251128H130949687433kHMw_LitaAgentN-LitaAgentP-MPdT.08,20,20,1.6527877999469638,[],[],[],[],0,0,3.099674358963966e-07,320,640,0,640,288,352,2,320,624,1216,0,0,0,0,0,0,608
000220251128H130949687433kHMw_LitaAgentY-LitaAgentYR-LitaAgentCteh.06,20,20,2.106572899967432,[],[],[],[],0,0,3.4002587199211123e-07,320,640,0,640,344,296,2,320,680,1328,0,0,0,0,0,0,664
000120251128H130949660922ppJj_LitaAgentY-LitaAgentC-LitaAgentPY1R.03,20,20,3.241601899964735,[],[],[],[],0,0,1.7693337912742908e-07,600,1200,0,1200,516,684,0,600,978,1912,0,0,0,0,0,0,956
000220251128H130949687433kHMw_LitaAgentY-LitaAgentP-MyM0.06,20,20,1.9507034001871943,[],[],[],[],0,0,2.600019797682762e-07,320,640,0,640,356,284,0,320,692,1352,0,0,0,0,0,0,676
000120251128H130949660922ppJj_LitaAgentY-LitaAgentC-LitaAgentPY1R.05,20,20,3.305306199938059,[],[],[],[],0,0,2.692417743114325e-07,600,1200,0,1200,498,702,2,600,960,1876,0,0,0,0,0,0,938
000020251128H1309496249196qBU_LitaAgentC-LitaAgentP-Mdvv.02,20,20,24.526890099979937,[],[],[],[],0,0,1.6153073654725e-07,600,1200,0,1200,622,578,0,600,1084,2124,0,0,0,0,0,0,1062
000020251128H1309496249196qBU_LitaAgentY-LitaAgentC-MTHq.01,20,20,25.938992500072345,[],[],[],[],0,0,1.6923205783733954e-07,600,1200,0,1200,700,500,72,600,1162,2280,0,0,0,0,0,0,1140
000220251128H130949687433kHMw_LitaAgentY-LitaAgentYR-LitaAgentCteh.08,20,20,89.61551600019448,[],[],[],[],0,0,2.000480890274048e-07,320,640,0,640,378,256,0,320,714,1396,0,0,0,0,0,0,698
000220251128H130949687433kHMw_LitaAgentY-LitaAgentC-LitaAgentNZ8D.06,20,20,15.731987499864772,[],[],[],[],0,0,3.299908712506294e-07,320,640,0,640,362,274,0,320,698,1364,0,0,0,0,0,0,682
000220251128H130949687433kHMw_LitaAgentY-LitaAgentC-LitaAgentNp4Y.07,20,20,67.67149399989285,[],[],[],[],0,0,2.499669790267944e-07,320,640,0,640,418,222,40,320,754,1476,0,0,0,0,0,0,738
000120251128H130949660922ppJj_LitaAgentY-LitaAgentYR-LitaAgentPBjJ.03,20,20,2.951411899877712,[],[],[],[],0,0,3.0764092046480914e-07,600,1200,0,1200,612,588,22,600,1074,2104,0,0,0,0,0,0,1052
000220251128H130949687433kHMw_LitaAgentY-LitaAgentYR-LitaAgentNbua.07,20,20,4.441947200102732,[],[],[],[],0,0,1.7005950212478637e-07,320,640,0,640,428,206,2,320,764,1496,0,0,0,0,0,0,748
000120251128H130949660922ppJj_LitaAgentY-LitaAgentN-MAaf.03,20,20,2.9728910999838263,[],[],[],[],0,0,2.8462650684209973e-07,600,1200,0,1200,608,592,0,600,1070,2096,0,0,0,0,0,0,1048
000120251128H130949660922ppJj_LitaAgentY-LitaAgentYR-LitaAgentN9To.03,20,20,2.7601383000146598,[],[],[],[],0,0,2.4611990039165204e-07,600,1200,0,1200,556,644,40,600,1018,1992,0,0,0,0,0,0,996
000120251128H130949660922ppJj_LitaAgentY-LitaAgentN-MAaf.04,20,20,2.3853857999201864,[],[],[],[],0,0,1.692141477878277e-07,600,1200,0,1200,612,588,52,600,1074,2104,0,0,0,0,0,0,1052
000020251128H1309496249196qBU_LitaAgentY-LitaAgentC-M9Cy.00,20,20,94.39601980010048,[],[],[],[],0,0,2.6922386426192065e-07,600,1200,0,1200,718,482,0,600,1180,2316,0,0,0,0,0,0,1158
000120251128H130949660922ppJj_LitaAgentY-LitaAgentN-LitaAgentPVaS.03,20,20,2.450617599999532,[],[],[],[],0,0,2.846085967925879e-07,600,1200,0,1200,648,552,46,600,1110,2176,0,0,0,0,0,0,1088
000220251128H130949687433kHMw_LitaAgentY-LitaAgentYR-MQt9.06,20,20,2.735243800096214,[],[],[],[],0,0,2.400018274784088e-07,320,640,0,640,390,242,0,320,726,1420,0,0,0,0,0,0,710
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-LitaAgentPB2u.02,20,20,3.200179300038144,[],[],[],[],0,0,2.615225429718311e-07,600,1200,0,1200,640,560,0,600,1102,2160,0,0,0,0,0,0,1080
000120251128H130949660922ppJj_LitaAgentY-LitaAgentN-MAuw.03,20,20,2.6273166998289526,[],[],[],[],0,0,1.8461679036800678e-07,600,1200,0,1200,608,592,2,600,1070,2096,0,0,0,0,0,0,1048
000220251128H130949687433kHMw_LitaAgentY-LitaAgentN-MMly.08,20,20,2.110582699999213,[],[],[],[],0,0,2.100132405757904e-07,320,640,0,640,460,180,0,320,796,1560,0,0,0,0,0,0,780
000220251128H130949687433kHMw_LitaAgentY-LitaAgentN-MZiR.08,20,20,1.878058500122279,[],[],[],[],0,0,1.7997808754444122e-07,320,640,0,640,358,278,0,320,694,1356,0,0,0,0,0,0,678
000120251128H130949660922ppJj_LitaAgentY-LitaAgentC-LitaAgentPY1R.04,20,20,104.99559519998729,[],[],[],[],0,0,2.692417743114325e-07,600,1200,0,1200,586,610,0,600,1048,2052,0,0,0,0,0,0,1026
000220251128H130949687433kHMw_LitaAgentY-LitaAgentN-LitaAgentP3v0.08,20,20,2.1768403998576105,[],[],[],[],0,0,2.700136974453926e-07,320,640,0,640,362,278,0,320,698,1364,0,0,0,0,0,0,682
000220251128H130949687433kHMw_LitaAgentY-LitaAgentN-LitaAgentPwc9.06,20,20,1.8686494000721723,[],[],[],[],0,0,1.6998965293169022e-07,320,640,0,640,326,314,16,320,662,1292,0,0,0,0,0,0,646
000120251128H130949660922ppJj_LitaAgentY-LitaAgentP-M50P.03,20,20,2.484793300041929,[],[],[],[],0,0,1.5388314540569598e-07,600,1200,0,1200,600,600,60,600,1062,2080,0,0,0,0,0,0,1040
000120251128H130949660922ppJj_LitaAgentY-LitaAgentN-MAuw.04,20,20,2.572579199913889,[],[],[],[],0,0,2.8459068674307605e-07,600,1200,0,1200,598,602,0,600,1060,2076,0,0,0,0,0,0,1038
000120251128H130949660922ppJj_LitaAgentY-LitaAgentYR-LitaAgentN9To.04,20,20,3.6379388000350446,[],[],[],[],0,0,1.461460040165828e-07,600,1200,0,1200,616,582,0,600,1078,2112,0,0,0,0,0,0,1056
000220251128H130949687433kHMw_LitaAgentY-LitaAgentC-LitaAgentPv9g.07,20,20,17.428180600050837,[],[],[],[],0,0,2.80025415122509e-07,320,640,0,640,362,278,0,320,698,1364,0,0,0,0,0,0,682
000220251128H130949687433kHMw_LitaAgentY-LitaAgentYR-LitaAgentP03f.07,20,20,2.0713156999554485,[],[],[],[],0,0,1.8998980522155762e-07,320,640,0,640,344,294,0,320,680,1328,0,0,0,0,0,0,664
000020251128H1309496249196qBU_LitaAgentC-LitaAgentP-Mdvv.01,20,20,22.956063899910077,[],[],[],[],0,0,3.15413881952946e-07,600,1200,0,1200,668,532,0,600,1130,2216,0,0,0,0,0,0,1108
000120251128H130949660922ppJj_LitaAgentY-LitaAgentC-LitaAgentNpd0.05,20,20,2.631408300017938,[],[],[],[],0,0,2.8460859679258783e-07,600,1200,0,1200,500,698,2,600,962,1880,0,0,0,0,0,0,940
000220251128H130949687433kHMw_LitaAgentN-LitaAgentP-MPdT.07,20,20,1.8919043000787497,[],[],[],[],0,0,1.7997808754444122e-07,320,640,0,640,390,250,0,320,726,1420,0,0,0,0,0,0,710
000020251128H1309496249196qBU_LitaAgentY-LitaAgentC-M9Cy.02,20,20,2.977231499971822,[],[],[],[],0,0,2.846444168916115e-07,600,1200,0,1200,624,574,0,600,1086,2128,0,0,0,0,0,0,1064
000220251128H130949687433kHMw_LitaAgentY-LitaAgentN-MZiR.07,20,20,1.7657095999456942,[],[],[],[],0,0,2.500135451555252e-07,320,640,0,640,440,200,40,320,776,1520,0,0,0,0,0,0,760
000120251128H130949660922ppJj_LitaAgentY-LitaAgentC-LitaAgentNrpw.03,20,20,2.584208599990234,[],[],[],[],0,0,2.692417743114325e-07,600,1200,0,1200,610,590,52,600,1072,2100,0,0,0,0,0,0,1050
000120251128H130949660922ppJj_LitaAgentY-LitaAgentC-LitaAgentNpd0.03,20,20,2.773312999866903,[],[],[],[],0,0,1.4612809396707095e-07,600,1200,0,1200,638,562,0,600,1100,2156,0,0,0,0,0,0,1078
000120251128H130949660922ppJj_LitaAgentY-LitaAgentN-LitaAgentPDKx.03,20,20,2.694270099978894,[],[],[],[],0,0,1.6156655664627368e-07,600,1200,0,1200,496,704,0,600,958,1872,0,0,0,0,0,0,936
000120251128H130949660922ppJj_LitaAgentY-LitaAgentN-LitaAgentPDKx.04,20,20,2.566478499909863,[],[],[],[],0,0,1.4621764421463013e-07,600,1200,0,1200,654,546,0,600,1116,2188,0,0,0,0,0,0,1094
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-LitaAgentNlkC.00,20,20,2.84357069991529,[],[],[],[],0,0,1.8459888031849494e-07,600,1200,0,1200,650,546,0,600,1112,2180,0,0,0,0,0,0,1090
000020251128H1309496249196qBU_LitaAgentY-LitaAgentN-MfyS.01,20,20,3.03974310006015,[],[],[],[],0,0,1.7695128917694092e-07,600,1200,0,1200,738,462,64,600,1200,2356,0,0,0,0,0,0,1178
000120251128H130949660922ppJj_LitaAgentY-LitaAgentYR-LitaAgentN9To.05,20,20,2.8400054001249373,[],[],[],[],0,0,1.9233602170760815e-07,600,1200,0,1200,728,472,48,600,1190,2336,0,0,0,0,0,0,1168
000020251128H1309496249196qBU_LitaAgentY-LitaAgentN-LitaAgentPgqH.00,20,20,2.8822135000955313,[],[],[],[],0,0,1.9230020160858447e-07,600,1200,0,1200,614,586,36,600,1076,2108,0,0,0,0,0,0,1054
000220251128H130949687433kHMw_LitaAgentY-LitaAgentC-Mt15.07,20,20,3.0046320999972522,[],[],[],[],0,0,2.000248059630394e-07,320,640,0,640,348,292,4,320,684,1336,0,0,0,0,0,0,668
000220251128H130949687433kHMw_LitaAgentY-LitaAgentC-LitaAgentPMfT.07,20,20,14.567332800012082,[],[],[],[],0,0,1.6000121831893922e-07,320,640,0,640,358,282,2,320,694,1356,0,0,0,0,0,0,678
000120251128H130949660922ppJj_LitaAgentY-LitaAgentYR-LitaAgentPBjJ.05,20,20,2.7621997999958694,[],[],[],[],0,0,2.769251855520102e-07,600,1200,0,1200,572,626,62,600,1034,2024,0,0,0,0,0,0,1012
000020251128H1309496249196qBU_LitaAgentY-LitaAgentP-MYxc.02,20,20,3.0332510999869555,[],[],[],[],0,0,2.0764911404022803e-07,600,1200,0,1200,608,592,0,600,1070,2096,0,0,0,0,0,0,1048
000020251128H1309496249196qBU_LitaAgentY-LitaAgentN-LitaAgentP7iC.01,20,20,2.889223200036213,[],[],[],[],0,0,1.6923205783733954e-07,600,1200,0,1200,546,654,0,600,1008,1972,0,0,0,0,0,0,986
000020251128H1309496249196qBU_LitaAgentY-LitaAgentC-MTHq.00,20,20,22.728355400031433,[],[],[],[],0,0,1.6926787793636322e-07,600,1200,0,1200,750,450,0,600,1212,2380,0,0,0,0,0,0,1190
000120251128H130949660922ppJj_LitaAgentY-LitaAgentYR-MrrF.03,20,20,2.818113900022581,[],[],[],[],0,0,3.076946506133446e-07,600,1200,0,1200,692,508,62,600,1154,2264,0,0,0,0,0,0,1132
000120251128H130949660922ppJj_LitaAgentC-LitaAgentN-MPco.05,20,20,24.436563699971884,[],[],[],[],0,0,2.692417743114325e-07,600,1200,0,1200,644,556,0,600,1106,2168,0,0,0,0,0,0,1084
000120251128H130949660922ppJj_LitaAgentC-LitaAgentN-LitaAgentP3OG.05,20,20,2.802052700193599,[],[],[],[],0,0,1.537935951581368e-07,600,1200,0,1200,538,662,0,600,1000,1956,0,0,0,0,0,0,978
000120251128H130949660922ppJj_LitaAgentY-LitaAgentYR-MrrF.05,20,20,3.0142847998067737,[],[],[],[],0,0,2.8466232694112336e-07,600,1200,0,1200,692,508,52,600,1154,2264,0,0,0,0,0,0,1132
000220251128H130949687433kHMw_LitaAgentY-LitaAgentN-MMly.07,20,20,2.2072410001419485,[],[],[],[],0,0,2.9001384973526e-07,320,640,0,640,416,224,2,320,752,1472,0,0,0,0,0,0,736
000220251128H130949687433kHMw_LitaAgentY-LitaAgentN-LitaAgentP3v0.06,20,20,2.361462499946356,[],[],[],[],0,0,1.90013088285923e-07,320,640,0,640,260,380,0,320,596,1160,0,0,0,0,0,0,580
000220251128H130949687433kHMw_LitaAgentY-LitaAgentYR-MQt9.08,20,20,4.685412300052121,[],[],[],[],0,0,1.6998965293169022e-07,320,640,0,640,368,268,52,320,704,1376,0,0,0,0,0,0,688
000120251128H130949660922ppJj_LitaAgentY-LitaAgentC-M3Zt.05,20,20,2.525761399883777,[],[],[],[],0,0,2.769251855520102e-07,600,1200,0,1200,622,578,0,600,1084,2124,0,0,0,0,0,0,1062
000020251128H1309496249196qBU_LitaAgentC-LitaAgentN-LitaAgentPJRL.00,20,20,26.458242600085214,[],[],[],[],0,0,1.7691546907791724e-07,600,1200,0,1200,554,646,0,600,1016,1988,0,0,0,0,0,0,994
000020251128H1309496249196qBU_LitaAgentY-LitaAgentC-LitaAgentP4Yj.02,20,20,3.181746199959889,[],[],[],[],0,0,2.846444168916115e-07,600,1200,0,1200,494,704,0,600,956,1868,0,0,0,0,0,0,934
000220251128H130949687433kHMw_LitaAgentY-LitaAgentC-MjJ1.08,20,20,1.872163100168109,[],[],[],[],0,0,3.7997961044311523e-07,320,640,0,640,350,290,0,320,686,1340,0,0,0,0,0,0,670
000020251128H1309496249196qBU_LitaAgentY-LitaAgentN-LitaAgentP7iC.00,20,20,3.6985272001475096,[],[],[],[],0,0,1.6154864659676184e-07,600,1200,0,1200,640,558,0,600,1102,2160,0,0,0,0,0,0,1080
000020251128H1309496249196qBU_LitaAgentY-LitaAgentC-LitaAgentNQAS.02,20,20,66.38073209999129,[],[],[],[],0,0,2.00001522898674e-07,600,1200,0,1200,766,428,0,600,1228,2412,0,0,0,0,0,0,1206
000220251128H130949687433kHMw_LitaAgentY-LitaAgentC-LitaAgentPv9g.08,20,20,5.0883712999057025,[],[],[],[],0,0,2.9997900128364565e-07,320,640,0,640,258,382,2,320,594,1156,0,0,0,0,0,0,578
000220251128H130949687433kHMw_LitaAgentY-LitaAgentC-LitaAgentPv9g.06,20,20,58.48609299981035,[],[],[],[],0,0,3.100140020251274e-07,320,640,0,640,358,282,0,320,694,1356,0,0,0,0,0,0,678
000220251128H130949687433kHMw_LitaAgentC-LitaAgentN-LitaAgentPfIT.08,20,20,23.651385199977085,[],[],[],[],0,0,2.599786967039108e-07,320,640,0,640,302,338,2,320,638,1244,0,0,0,0,0,0,622
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-LitaAgentC0pL.02,20,20,2.735211899969727,[],[],[],[],0,0,1.9996570279965033e-07,600,1200,0,1200,610,590,0,600,1072,2100,0,0,0,0,0,0,1050
000120251128H130949660922ppJj_LitaAgentY-LitaAgentP-Msj7.04,20,20,2.8375937999226153,[],[],[],[],0,0,2.692059542124088e-07,600,1200,0,1200,624,576,0,600,1086,2128,0,0,0,0,0,0,1064
000020251128H1309496249196qBU_LitaAgentY-LitaAgentN-MfyS.02,20,20,3.2042714001145214,[],[],[],[],0,0,2.692059542124088e-07,600,1200,0,1200,700,500,0,600,1162,2280,0,0,0,0,0,0,1140
000220251128H130949687433kHMw_LitaAgentC-LitaAgentN-Mtrt.07,20,20,23.024035400012508,[],[],[],[],0,0,1.9995495676994323e-07,320,640,0,640,448,192,0,320,784,1536,0,0,0,0,0,0,768
