agent_type,count,mean,std,min,25%,median,75%,max
scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_cir.LitaAgentCIR,675.0,0.4035726533149303,0.4332305357374183,-1.2041051428769658,0.3593133510947034,0.4426108702996545,0.6395017864630581,1.0333313447809336
scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_n.LitaAgentN,675.0,0.3983563943514148,0.5108085886793557,-1.3408486644352589,0.370641127648937,0.5234867004005034,0.6906900597897561,1.1326541271545183
scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_p.LitaAgentP,675.0,0.4337530835297888,0.4009901733164153,-0.4855579802767615,0.16080126871393446,0.4369211225369598,0.7337758839036587,1.0
scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_y.LitaAgentY,675.0,0.8049827855320522,0.3620815419552396,-0.397352062882191,0.5137431828443142,0.9274750502983514,1.104846062364283,1.3495443260737656
scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_yr.LitaAgentYR,675.0,0.9015449117293848,0.2892440620548337,0.245001785544158,0.6547076055320098,0.9161035747474656,1.1586898677377113,1.469249197967612
scml.oneshot.sysagents.DefaultOneShotAdapter:scml_agents.scml2025.standard.team_253.master_sota_agent.XenoSotaAgent,675.0,1.0523753430056664,0.38428220324032897,-0.0094773140933575,0.8027018581807835,1.1797649828337735,1.3347409967259405,1.7672968573118348
scml.oneshot.sysagents.DefaultOneShotAdapter:scml_agents.scml2025.standard.team_254.ultra.UltraSuperMiracleSoraFinalAgentZ,675.0,1.0627690844143787,0.3029993583058891,0.2782907643293469,0.9163961837277705,1.1804612427636945,1.2718258742838564,1.4953351186501749
scml.oneshot.sysagents.DefaultOneShotAdapter:scml_agents.scml2025.standard.team_255.myagent.PonponAgent,675.0,0.9713226632923001,0.4502525670460391,0.0059550756105052,0.7400578007364078,1.1656681929319703,1.3178383226201058,1.5267053200439702
scml.oneshot.sysagents.DefaultOneShotAdapter:scml_agents.scml2025.standard.team_255.proactive_agent.ProactiveAgent,675.0,0.29172332412941226,0.4712512089924452,-1.8397275263128756,0.00192110510003855,0.2337648956425311,0.6678862543493472,1.330808656654182
scml.oneshot.sysagents.DefaultOneShotAdapter:scml_agents.scml2025.standard.team_268.katsudon_agent.KATSUDONAgent,675.0,0.6682949514723091,0.2887541101568857,-0.007091593169777,0.45360372689086864,0.6403641975814482,0.8428324113896447,1.3814015151915713
scml.oneshot.sysagents.DefaultOneShotAdapter:scml_agents.scml2025.standard.team_268.optimistic_agent.OptimisticAgent,675.0,0.49110191792374114,0.6876842316162564,-1.6819557590038778,0.3072092532760199,0.7239177323967888,0.9838242811867086,1.2793053601074944
